"","Province/State","Country/Region","Lat","Long","Date","Value"
"1",NA,"Afghanistan","33.0","65.0","2020-03-29","120"
"2",NA,"Afghanistan","33.0","65.0","2020-03-28","110"
"3",NA,"Afghanistan","33.0","65.0","2020-03-27","110"
"4",NA,"Afghanistan","33.0","65.0","2020-03-26","94"
"5",NA,"Afghanistan","33.0","65.0","2020-03-25","84"
"6",NA,"Afghanistan","33.0","65.0","2020-03-24","74"
"7",NA,"Afghanistan","33.0","65.0","2020-03-23","40"
"8",NA,"Afghanistan","33.0","65.0","2020-03-22","40"
"9",NA,"Afghanistan","33.0","65.0","2020-03-21","24"
"10",NA,"Afghanistan","33.0","65.0","2020-03-20","24"
"11",NA,"Afghanistan","33.0","65.0","2020-03-19","22"
"12",NA,"Afghanistan","33.0","65.0","2020-03-18","22"
"13",NA,"Afghanistan","33.0","65.0","2020-03-17","22"
"14",NA,"Afghanistan","33.0","65.0","2020-03-16","21"
"15",NA,"Afghanistan","33.0","65.0","2020-03-15","16"
"16",NA,"Afghanistan","33.0","65.0","2020-03-14","11"
"17",NA,"Afghanistan","33.0","65.0","2020-03-13","7"
"18",NA,"Afghanistan","33.0","65.0","2020-03-12","7"
"19",NA,"Afghanistan","33.0","65.0","2020-03-11","7"
"20",NA,"Afghanistan","33.0","65.0","2020-03-10","5"
"21",NA,"Afghanistan","33.0","65.0","2020-03-09","4"
"22",NA,"Afghanistan","33.0","65.0","2020-03-08","4"
"23",NA,"Afghanistan","33.0","65.0","2020-03-07","1"
"24",NA,"Afghanistan","33.0","65.0","2020-03-06","1"
"25",NA,"Afghanistan","33.0","65.0","2020-03-05","1"
"26",NA,"Afghanistan","33.0","65.0","2020-03-04","1"
"27",NA,"Afghanistan","33.0","65.0","2020-03-03","1"
"28",NA,"Afghanistan","33.0","65.0","2020-03-02","1"
"29",NA,"Afghanistan","33.0","65.0","2020-03-01","1"
"30",NA,"Afghanistan","33.0","65.0","2020-02-29","1"
"31",NA,"Afghanistan","33.0","65.0","2020-02-28","1"
"32",NA,"Afghanistan","33.0","65.0","2020-02-27","1"
"33",NA,"Afghanistan","33.0","65.0","2020-02-26","1"
"34",NA,"Afghanistan","33.0","65.0","2020-02-25","1"
"35",NA,"Afghanistan","33.0","65.0","2020-02-24","1"
"36",NA,"Afghanistan","33.0","65.0","2020-02-23","0"
"37",NA,"Afghanistan","33.0","65.0","2020-02-22","0"
